en Bergen_Township,_New_Jersey_(pre-1862) 1 16344
en Bergen_op_Zoom 1 21109
en Bergen_raises 3 71155
en Bergen_rune-charm 1 8910
en Bergenfield 1 45147
en Bergenfield,_New_Jersey 2 90132
en Bergenfield_High_School 1 24390
en Bergenfield_Public_Schools 1 55503
en Bergenhi-fi 1 6625
en Bergenholm_space_drive 1 8849
en Bergenhus_Fortress 2 15351
en Bergenia 1 14467
en Bergenia_crassifolia 2 25756
en Bergenline_Avenue_(HBLR_station) 1 18696
en Bergenost 3 17307
en Bergens_Tidende 1 0
en Bergensbanen 1 56605
en Bergenshus 1 15435
en Bergensk 2 29274
en Berger 2 22760
en Berger%27s_disease 1 25739
en Berger_Blanc_Suisse 4 55900
en Berger_Cookie 1 11537
en Berger_Picard 2 43804
en Bergerac,_Dordogne 4 110388
aa %CE%92%CE%84_%CE%95%CF%80%CE%B9%CF%83%CF%84%CE%BF%CE%BB%CE%AE_%CE%99%CF%89%CE%AC%CE%BD%CE%BD%CE%B7/el/%CE%92 1 4854
aa %CE%98%CE%B5%CF%8C%CE%B4%CF%89%CF%81%CE%BF%CF%82_%CE%91%CE%84_%CE%9B%CE%AC%CF%83%CE%BA%CE%B1%CF%81%CE%B7%CF%82/el/%CE%98%CE%B5%CF%8C%CE%B4%CF%89%CF%81%CE%BF%CF%82_%CE%91%27_%CE%9B%CE%AC%CF%83%CE%BA%CE%B1%CF%81%CE%B7%CF%82 1 4917
aa %CE%9C%CF%89%CE%AC%CE%BC%CE%B5%CE%B8_%CE%95%CE%84/el/%CE%9C%CE%B5%CF%87%CE%BC%CE%AD%CF%84_%CE%95 1 4832